name,slug,value,date_of_information,ranking,region
Kiribati,kiribati,"$423,549,000",2023,215,Australia and Oceania
Grenada,grenada,"$1,984,000,000",2023,201,Central America and the Caribbean
Maldives,maldives,"$11,723,000,000",2023,164,South Asia
Dominica,dominica,"$1,159,000,000.00",2023,208,Central America and the Caribbean
Kiribati,kiribati,"$423,549,000",2023,215,Australia and Oceania
Sint Maarten,sint-maarten,"$1,919,000,000",2023,202,Central America and the Caribbean
